"0.ogg","Startup sound"
"1.ogg","Очікування налаштування мережі."
"2.ogg","Неможливо підключитися до мережі Wi-Fi. Перевірте пароль Wi-Fi і повторіть спробу пізніше."
"3.ogg","Неможливо підключитися до сервера. Перевірте локальну мережу та повторіть спробу пізніше."
"4.ogg","Для робота вже існує режим конфігурації мережі."
"5.ogg","Підключення до мережі успішно встановлено."
"6.ogg","Помилка підключення до мережі. Будь ласка спробуйте пізніше."
"7.ogg","Починаю прибирання."
"8.ogg","Починаю точкове прибирання."
"9.ogg","Починаю планове прибирання."
"10.ogg","Продовжую прибирання."
"11.ogg","Призупинено."
"12.ogg","Прибирання завершено."
"13.ogg","Повертаюсь на док-станцію для зарядки."
"14.ogg","Низький заряд акумулятора. Поверніть робот на док-станцію для заряджання. Після зарядки робот відновить роботу."
"15.ogg","Збираюся повернутися до початкової точки."
"16.ogg","Низький заряд акумулятора. Я збираюся повернутися до початкової точки. Будь ласка, зарядіть мене."
"17.ogg","Будь ласка, перемістіть робот на док-станцію для заряджання."
"18.ogg","Заряджання."
"19.ogg","Будь ласка, перемыстыть робот з док-станції перед тим, як вимкнути його."
"20.ogg","Низький заряд акумулятора."
"21.ogg","Низький заряд акумулятора. Робот вимкнеться."
"22.ogg","Перемістіть робот в місце, яке потрібно прибрати."
"23.ogg","Резервуар для води встановлено."
"24.ogg","Будь ласка, перевірте, чи правильно встановлено резервуар для води."
"25.ogg","Низький заряд акумулятора. Неможливо виконати заплановане прибирання."
"26.ogg","Відновлення заводських налаштувань."
"27.ogg","Виконується оновлення. Це займе близько п’яти хвилин. Не виключайте робот і не починайте прибирання."
"28.ogg","Оновлення виконано успішно."
"29.ogg","Не вдалося оновити. Повторіть спробу."
"30.ogg","Встановлення місцезнаходження. Зачекайте, будь ласка."
"31.ogg","Помилка визначення місцезнаходження. Карта недійсна. Робот розпочне нове прибирання."
"32.ogg","Виявлено зміни в оточенні. Будь ласка, натисніть кнопку та розпочніть новий цикл прибирання."
"33.ogg","Помилка сенсору візуальної навігації. Будь ласка, очистіть його та перезапустіть."
"34.ogg","Пилозбірник не встановлено. Будь ласка, встановіть його."
"35.ogg","Помилка основної щітки. Будь ласка, перевірте та очистіть її."
"36.ogg","Помилка бічної щітки. Будь ласка, перевірте та очистіть її."
"37.ogg","Помилка правого колеса. Будь ласка, перевірте та очистіть його."
"38.ogg","Помилка лівого колеса. Будь ласка, перевірте та очистіть його."
"39.ogg","Колеса не торкаються поверхні. Протріть датчики падіння, змініть положення робота та перезапустіть його."
"40.ogg","Робот застряг. Будь ласка, перемістіть його на нове місце, щоб перезапустити."
"41.ogg","Колеса не торкаються поверхні. Будь ласка, змініть положення робота та перезапустіть його."
"42.ogg","Будь ласка, перевірте та очистіть фільтр."
"43.ogg","Помилка бампера. Будь ласка, обережно торкніться, щоб побачити, чи відскочить він."
"44.ogg","Помилка. Перегляньте посібник користувача або зверніться до служби підтримки клієнтів."
"45.ogg","Я тут."
"46.ogg","Робот підключений до телефону. Будь ласка, поверніться в додаток і дочекайтесь результату."
"47.ogg","Початок заряджання."
"48.ogg","Низький заряд акумулятора. Повертаюсь на док-станцію."
"49.ogg","Виявлено сильне магнітне поле. Будь ласка, віддаліть робота та перезапустіть його."
"50.ogg","Помилка зарядки. Будь ласка, очистіть контакти для заряджання."
"51.ogg","Перегрів або переохолодження акумулятора. Будь ласка, зачекайте, поки температура батареї повернеться до норми. Потім можна продовжувати використовувати пристрій."
"52.ogg","Робот нахилений. Будь ласка, розмістіть його на рівній поверхні для перезапуску."
"53.ogg","Виявлено віртуальну заборонену зону. Будь ласка, віддаліть робота та перезапустіть його."
"54.ogg","Місцезнаходження визначено. Продовжую прибирання."
"55.ogg","Місцезнаходження визначено. Повертаюся на док-станцію."
"56.ogg","Починаю прибирання вибраних кімнат."
"57.ogg","Починаю зональне прибирання."
"58.ogg","Відновлюю процес прибирання."
"59.ogg","Вологе прибирання завершено. Будь ласка, вчасно вийміть резервуар для води."
"60.ogg","Помилка оптичного датчика руху. Будь ласка, очистіть датчик та перезапустіть."
"61.ogg","Починаю вологе прибирання."
"62.ogg","Починаю прибирання за допомогою дистанційного керування."
"63.ogg","Резервуар для води вийнято."
"64.ogg","Помилка визначення місцезнаходження. Карта недійсна. Робот повернеться на док-станцію."
"65.ogg","Продовжую повернення на док-станцію."
"66.ogg","Зношений фільтр. Будь ласка, вчасно замініть його."
"67.ogg","Зношена бічна щітка. Будь ласка, вчасно замініть її."
"68.ogg","Зношена основна щітка. Будь ласка, вчасно замініть її."
"69.ogg","Маршрут прибирання заблоковано. Будь ласка, перемістіть робота на інше місце для перезапуску."
"70.ogg","Будь ласка, зніміть і очистіть накладки для мопа."
"71.ogg","Помилка лазерного датчика. Будь ласка, перевірте та очистіть лазерний датчик."
"72.ogg","Будь ласка, перевірте, чи заблокована кришка лазерного датчика відстані."
"73.ogg","Помилка датчика виявлення краю. Будь ласка, перевірте та очистіть його."
"74.ogg","Будь ласка, спробуйте очистити датчики перешкод."
"75.ogg","Перевірте, чи фільтр не вологий або чи він не забитий."
"76.ogg","Починаю точкове прибирання."
"77.ogg","Будь ласка, почніть роботу на поверхні не вкритій килимом."
"78.ogg","Будь ласка, очистіть 3D датчик уникнення перешкод."
"79.ogg","Помилка 3D датчика уникнення перешкод. Будь ласка, перезапустіть пристрій або зверніться до служби підтримки клієнтів."
"80.ogg","Трансмітер 3D датчика уникнення перешкод несправний. Будь ласка, перезапустіть пристрій або зв'яжіться з відділом післяпродажного обслуговування."
"81.ogg","Помилка ультразвукового датчика. Будь ласка, перезапустіть пристрій або зверніться до служби підтримки клієнтів."
"82.ogg","Розпочинаю створення карти."
